Route_name,Route_link
Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
Etah (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/etah-up-to-delhi
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Barasat (West Bengal) to Kolaghat,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-kolaghat
Barasat (West Bengal) to Contai (Kanthi),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi
Habra to Digha,https://www.redbus.in/bus-tickets/habra-to-digha
Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Digha to Habra,https://www.redbus.in/bus-tickets/digha-to-habra
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
Kolkata to Bolpur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal
Barasat (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-durgapur
Barasat (West Bengal) to Heria,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-heria
Haldia to Barasat (West Bengal),https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal
Barasat (West Bengal) to Haldia,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Barasat (West Bengal) to Debra,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
Barasat (West Bengal) to Burdwan,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-burdwan
Kolkata to Bakkhali,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
Kolkata to Purulia,https://www.redbus.in/bus-tickets/kolkata-to-purulia
Durgapur (West Bengal) to Purulia,https://www.redbus.in/bus-tickets/durgapur-to-purulia
Habra to Midnapore,https://www.redbus.in/bus-tickets/habra-to-midnapore
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
Barasat (West Bengal) to Asansol (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
Jayrambati (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/jayrambati-west-bengal-to-barasat-west-bengal
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Habra to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/habra-to-durgapur
Habra to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/habra-to-nandakumar
Habra to Kolaghat,https://www.redbus.in/bus-tickets/habra-to-kolaghat
Kolkata to Mayapur ISKCON,https://www.redbus.in/bus-tickets/kolkata-to-mayapur-iskcon
Habra to Heria,https://www.redbus.in/bus-tickets/habra-to-heria
Midnapore to Kolkata Airport,https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport
